job_number,subject_of_procurement,procuring_entity,entity_code,attr_of_procurement,procurement_type,tender_awarding_type,tenderer_name,total_tender_awarding_value,amount_range,tender_awarding_date,start_end_date
008-002054B-N-Y008005417,議購西門子公司備品及服務供應協議提供選購類項目乙批,台灣電力股份有限公司,3.13.31,<財物類>469其他電力設備及零件,限制性招標(未經公開評選或公開徵求),最低標,SIEMENS AG.,29124936,公告金額以上未達查核金額,1/21/2014 0:00:00,103/01/21－104/09/10
6540200028,防墜裝置等一批(共23項),台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,力鋼工業股份有限公司,3100000,公告金額以上未達查核金額,1/7/2014 0:00:00,103/01/08－103/02/06
1170370006,103年丙工區配電管路工程,台灣電力股份有限公司台北西區營業處,3.13.31.5,<工程類>5164電力工程,公開招標,最低標,立電股份有限公司,173000000,查核金額以上未達巨額,2/20/2014 0:00:00,103/02/21－104/03/07
6550300001,鉅工~霧峰一進一出九峰線等線路鐵塔改造暨防墜裝置,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,力鋼工業股份有限公司,3903740,公告金額以上未達查核金額,2/20/2014 0:00:00,103/02/21－103/04/21
6530300002,345KV輸電線路EC5&EC5G;鐵塔設計.試組及製交等1批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,力鋼工業股份有限公司,17983540,公告金額以上未達查核金額,2/12/2014 0:00:00,103/02/13－107/06/30
tpc-00905-2011S-103006,進口煤海上運輸印尼及澳洲地區計5航次,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,BIT MARITIME LIMITED ( 海瀧 ),67428688,巨額,2/14/2014 0:00:00,103/02/14－103/04/25
tpc-00905-2011S-103006,進口煤海上運輸印尼及澳洲地區計5航次,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,"KAWASAKI KISEN KAISHA, LTD.(台灣川崎)",67428688,巨額,2/14/2014 0:00:00,103/02/14－103/05/14
S01791120037-7,第六輸變電計畫瀰力、下營、東港變電所工程技術服務工作契約第7次契約變更,台灣電力股份有限公司,3.13.31,<勞務類>8673綜合工程服務,限制性招標(未經公開評選或公開徵求),最低標,泰興工程顧問股份有限公司,3570000,公告金額以上未達查核金額,12/27/2013 0:00:00,102/12/27－103/03/31
1170370003,台北西區營業處103年丙工區配電外線工程,台灣電力股份有限公司台北西區營業處,3.13.31.5,<工程類>5164電力工程,公開招標,最低標,造隆電氣工程有限公司,124699679,查核金額以上未達巨額,2/13/2014 0:00:00,103/02/14－104/02/28
6530200044,空斷開關三相161KV2000A2組,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,亞力電機股份有限公司,1091000,公告金額以上未達查核金額,1/16/2014 0:00:00,103/01/16－103/11/30
3500220003,核一廠GE公司製AK系列低壓斷路器翻修維護工作,台灣電力股份有限公司第一核能發電廠,3.13.31.81,<勞務類>886附帶於金屬產品、機械及設備維修之服務,限制性招標(未經公開評選或公開徵求),最低標,美商奇異日立核能有限公司,245440250,巨額,12/31/2013 0:00:00,103/01/02－105/03/31
1060370003,彰化區營業處103年甲工區配電管路工程,台灣電力股份有限公司彰化區營業處,3.13.31.13,<工程類>5164電力工程,公開招標,最低標,彰聯工程股份有限公司,76300000,查核金額以上未達巨額,1/15/2014 0:00:00,103/01/22－104/02/04
80220085,"議購興一,二機汽輪機備品乙批",台灣電力股份有限公司,3.13.31,<財物類>469其他電力設備及零件,限制性招標(未經公開評選或公開徵求),最低標,Mitsubishi Corporation,4397360,公告金額以上未達查核金額,1/17/2014 0:00:00,103/01/17－103/10/31
4750300003,161kV龍潭~梅湖紅白線#38鐵塔材料乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,2287635,公告金額以上未達查核金額,1/24/2014 0:00:00,103/01/25－103/04/04
4750300009,161KV林口~中壢線#47~#54等鐵塔材料等乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,力鋼工業股份有限公司,5815740,公告金額以上未達查核金額,2/13/2014 0:00:00,103/02/14－103/04/04
1170370004,103年甲工區配電管路工程,台灣電力股份有限公司台北西區營業處,3.13.31.5,<工程類>5164電力工程,公開招標,最低標,國盛電氣工程有限公司,160300000,查核金額以上未達巨額,2/24/2014 0:00:00,103/02/25－104/03/11
1080375505,台南區營業處103年乙工區配電管路工程,台灣電力股份有限公司台南區營業處,3.13.31.17,<工程類>5164電力工程,公開招標,最低標,立電股份有限公司,121700000,查核金額以上未達巨額,1/8/2014 0:00:00,103/01/28－104/04/28
3520300025,核三廠儀控組校驗課儀控設備年度維修工作,台灣電力股份有限公司第三核能發電廠,3.13.31.83,<勞務類>886附帶於金屬產品、機械及設備維修之服務,公開招標,最低標,裕旺工程有限公司,7360000,公告金額以上未達查核金額,2/26/2014 0:00:00,103/03/05－106/03/05
80220083,"採購懸垂礙子B型25,000磅10""灰色六萬只",台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,NGK INSULATORS LTD.,36904647,查核金額以上未達巨額,12/24/2013 0:00:00,102/12/24－104/12/23
1100200011-1,102年度防燄性工作服,台灣電力股份有限公司屏東區營業處,3.13.31.24,"<財物類>282成衣,毛皮服裝除外",限制性招標(未經公開評選或公開徵求),最低標,祥皓有限公司,236748,未達公告金額,1/8/2014 0:00:00,103/01/08－103/02/27
80300006,600VPVC風雨線壹批,台灣電力股份有限公司,3.13.31,"<財物類>463絕緣電線,電纜及光纖電纜",選擇性招標(建立合格廠商名單後續邀標),最低標,華新麗華股份有限公司,62820000,查核金額以上未達巨額,2/17/2014 0:00:00,103/02/17－104/02/16
80300006,600VPVC風雨線壹批,台灣電力股份有限公司,3.13.31,"<財物類>463絕緣電線,電纜及光纖電纜",選擇性招標(建立合格廠商名單後續邀標),最低標,華光電線電纜股份有限公司,62820000,查核金額以上未達巨額,2/17/2014 0:00:00,103/02/17－104/02/16
4700300008,69KV鐵塔防墜裝置乙批,台灣電力股份有限公司,3.13.31,"<財物類>432幫浦,壓縮機,液壓與氣動引擎,閥門及其零件",選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,233200,未達公告金額,1/24/2014 0:00:00,103/01/24－103/03/05
4850300004,B2鐵塔塔身等工式防墜裝置等乙批,台灣電力股份有限公司,3.13.31,<財物類>469其他電力設備及零件,選擇性招標(建立合格廠商名單後續邀標),最低標,力鋼工業股份有限公司,125700,未達公告金額,2/6/2014 0:00:00,103/02/06－103/03/17
4750200148,峨眉E/S161kVGISCHD配合工作用料,台灣電力股份有限公司新桃供電區營運處,3.13.31.92,<財物類>462電力傳輸、控制設備及其零件,限制性招標(未經公開評選或公開徵求),最低標,中興電工機械股份有限公司,291900,未達公告金額,1/6/2014 0:00:00,103/01/07－103/02/05
3300200069,600VPE控制電纜壹批.,台灣電力股份有限公司南部發電廠,3.13.31.49,"<財物類>463絕緣電線,電纜及光纖電纜",公開招標,最低標,華榮電線電纜股份有限公司,723000,公告金額以上未達查核金額,12/18/2013 0:00:00,102/12/19－103/02/03
4850300002,A4鐵塔塔身等重新鍍鋅並補齊鍍鋅螺栓等乙批,台灣電力股份有限公司,3.13.31,<財物類>469其他電力設備及零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,877054,未達公告金額,1/20/2014 0:00:00,103/01/20－103/03/17
008-0000059-1,69kV1600mm2交連PE電纜及附屬器材(材料)壹批增購,台灣電力股份有限公司,3.13.31,"<財物類>463絕緣電線,電纜及光纖電纜",限制性招標(未經公開評選或公開徵求),最低標,大同股份有限公司,3899668,公告金額以上未達查核金額,1/21/2014 0:00:00,103/01/21－103/03/31
1100271025,103年配電線路維護工作,台灣電力股份有限公司屏東區營業處,3.13.31.24,<勞務類>97其他服務,公開招標,最低標,昇傳工程股份有限公司,8500000,公告金額以上未達查核金額,1/7/2014 0:00:00,103/01/22－104/01/22
560200021,核三廠機率式斷層位移危害度分析技術服務工作,台灣電力股份有限公司,3.13.31,<勞務類>85研發服務,限制性招標(經公開評選或公開徵求),準用最有利標,中興工程顧問股份有限公司,30590000,巨額,1/27/2014 0:00:00,103/01/28－104/10/31
4700300010,345KV鐵塔DD等乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,8936002,公告金額以上未達查核金額,1/27/2014 0:00:00,103/01/27－103/04/17
tpc-00905-2011S-102062,進口煤海上運輸印尼地區計5航次,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,ALPHA MARITIME LIMITED（海寰）,16945698,查核金額以上未達巨額,1/2/2014 0:00:00,103/01/02－103/08/19
3560200070,龍門電廠1號機及共用廠房NTTF2.3地震履勘暨水災防護報告委託技術服務工作（龍門改字第017號）,台灣電力股份有限公司龍門核能發電廠,3.13.31.87,<勞務類>8675與科技工程有關之顧問服務,公開招標,最低標,行政院原子能委員會核能研究所,14960000,查核金額以上未達巨額,1/27/2014 0:00:00,103/03/01－104/08/31
4750200146,161kV角鋼構件舊料重鍍鋅及改造乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,力鋼工業股份有限公司,374000,未達公告金額,1/8/2014 0:00:00,103/01/09－103/02/17
tpc-00905-2011S-103005,進口煤海上運輸印尼及澳洲地區計3航次,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,TRANSBEST LIMITED（黃海）,31782520,巨額,2/7/2014 0:00:00,103/02/07－103/04/21
1050370004,台中區營業處103年丁工區配電外線工程,台灣電力股份有限公司台中區營業處,3.13.31.10,<工程類>5164電力工程,公開招標,最低標,東大電業工程股份有限公司,100000000,查核金額以上未達巨額,1/28/2014 0:00:00,103/01/28－104/01/28
80300009,600VPVC電線1C銅ㄧ批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,億泰電線電纜股份有限公司,16570000,公告金額以上未達查核金額,2/19/2014 0:00:00,103/02/19－104/02/18
1080370101,台南區營業處103年配電線路維護工程,台灣電力股份有限公司台南區營業處,3.13.31.17,<工程類>5164電力工程,公開招標,最低標,楊記水電瓦斯股份有限公司,39298000,公告金額以上未達查核金額,2/6/2014 0:00:00,103/03/20－104/03/19
4800300003,161KV鐵塔NDa2鐵塔塔身12M等乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,2849638,公告金額以上未達查核金額,2/11/2014 0:00:00,103/02/11－103/04/22
4700200126,單點支持耐張裝置等乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,4300000,公告金額以上未達查核金額,1/13/2014 0:00:00,103/01/13－103/03/14
4750200132,69kV湖口~清樺線#33、34鐵塔重鍍鋅改造材料乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,2000124,公告金額以上未達查核金額,12/24/2013 0:00:00,102/12/30－103/02/07
4950300001,採購69KVPE17M鐵柱柱身等一批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,958588,未達公告金額,1/22/2014 0:00:00,103/01/23－103/05/01
4950300002,台東分隊轄區線路租用直昇機活線礙子清洗暨巡視、人員搭載及器材吊運工作,台灣電力股份有限公司花東供電區營運處,3.13.31.99,<勞務類>97其他服務,公開招標,最低標,凌天航空股份有限公司,6720000,公告金額以上未達查核金額,2/24/2014 0:00:00,103/02/24－103/12/31
1180203003,103年甲工區配電線路樹竹修剪及接戶線維護工作,台灣電力股份有限公司南投區營業處,3.13.31.12,<勞務類>97其他服務,公開招標,最低標,興城電力工程股份有限公司,7447230,公告金額以上未達查核金額,12/24/2013 0:00:00,103/01/01－103/12/31
4750200130,103年度桃園段轄區線路及電廠電源線直昇機活線礙子清洗工作,台灣電力股份有限公司新桃供電區營運處,3.13.31.92,<勞務類>73空運服務,公開招標,最低標,凌天航空股份有限公司,14800000,查核金額以上未達巨額,12/31/2013 0:00:00,102/12/31－103/12/31
6020251306,通霄電廠更新擴建計畫345kVGIS開關場區土建工程,台灣電力股份有限公司,3.13.31,<工程類>5123倉儲及工業建築工程,公開招標,最低標,安倉營造股份有限公司,631500000,巨額,1/24/2014 0:00:00,103/01/24－105/07/31
A1100000002-1,變更設計100年乙工區配電管路工程,台灣電力股份有限公司屏東區營業處,3.13.31.24,<工程類>5164電力工程,限制性招標(未經公開評選或公開徵求),最低標,進昇工程股份有限公司,60457583,查核金額以上未達巨額,12/23/2013 0:00:00,100/04/21－101/04/20
1080375503,台南區營業處103_丙工區配電外線工程,台灣電力股份有限公司台南區營業處,3.13.31.17,<工程類>5164電力工程,公開招標,最低標,楊記水電瓦斯股份有限公司,119980000,查核金額以上未達巨額,1/22/2014 0:00:00,103/02/12－104/06/12
A6020000019-2,「林口電廠更新擴建計畫345kV氣體絕緣開關及附屬設備工程」第2次契約變更,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,限制性招標(未經公開評選或公開徵求),最低標,中興電工機械股份有限公司,14000000,公告金額以上未達查核金額,12/19/2013 0:00:00,103/07/30－104/01/26
4900300006,絕緣噴嘴等乙批,台灣電力股份有限公司高屏供電區營運處,3.13.31.98,<財物類>462電力傳輸、控制設備及其零件,限制性招標(未經公開評選或公開徵求),最低標,中興電工機械股份有限公司,1700000,公告金額以上未達查核金額,1/27/2014 0:00:00,103/01/27－103/02/26
4700300001,冬山E/S中興製GCS、GCB12年內檢材料一批,台灣電力股份有限公司台北供電區營運處,3.13.31.90,<財物類>469其他電力設備及零件,限制性招標(未經公開評選或公開徵求),最低標,中興電工機械股份有限公司,3150000,公告金額以上未達查核金額,1/28/2014 0:00:00,103/01/28－103/02/27
4750273007,103年桃二分隊工區零星輸電架空線路積點工程,台灣電力股份有限公司新桃供電區營運處,3.13.31.92,<工程類>5164電力工程,公開招標,最低標,立電股份有限公司,32130000,公告金額以上未達查核金額,1/24/2014 0:00:00,103/01/24－103/12/31
4700200125,跳線間隔器乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,亞力電機股份有限公司,888250,未達公告金額,2/12/2014 0:00:00,103/02/12－103/04/13
3560200059,近接開關(GOSWITCH)一批,台灣電力股份有限公司龍門核能發電廠,3.13.31.87,<財物類>449其他特殊用途之機具及其零件,限制性招標(經公開評選或公開徵求),最低標,巨路國際股份有限公司,332693,未達公告金額,12/25/2013 0:00:00,102/12/26－103/04/04
1100271016,103年變壓器逾齡吊檢工作,台灣電力股份有限公司屏東區營業處,3.13.31.24,<勞務類>886附帶於金屬產品、機械及設備維修之服務,公開招標,最低標,昇傳工程股份有限公司,5320000,公告金額以上未達查核金額,1/7/2014 0:00:00,103/01/22－104/01/22
170200005,核一、二及三廠增設防海嘯牆規劃設計技術服務工作,台灣電力股份有限公司,3.13.31,<勞務類>8672工程服務,限制性招標(經公開評選或公開徵求),準用最有利標,中興工程顧問股份有限公司,38500000,巨額,1/17/2014 0:00:00,103/01/17－105/12/31
1240370001,馬祖區營業處103年全工區配電外線工程及配電零星管路工程,台灣電力股份有限公司馬祖區營業處,3.13.31.30,<工程類>5164電力工程,公開招標,最低標,立電股份有限公司,37700000,公告金額以上未達查核金額,1/21/2014 0:00:00,103/02/05－104/06/05
610200022,火力發電廠空污排放外部成本及細懸浮微粒(PM2.5)檢測分析,台灣電力股份有限公司,3.13.31,<勞務類>85研發服務,限制性招標(經公開評選或公開徵求),準用最有利標,中興工程顧問股份有限公司,8650000,公告金額以上未達查核金額,12/25/2013 0:00:00,102/12/25－104/02/24
S0170004001-4,核能第一、二及三電廠生水系統耐震評估及補強設計技術服務工作第四次契約變更,台灣電力股份有限公司,3.13.31,<勞務類>8673綜合工程服務,限制性招標(未經公開評選或公開徵求),最低標,中興工程顧問股份有限公司,285533,未達公告金額,2/12/2014 0:00:00,103/02/12－103/12/31
1040270017,103年配電設備維護及事故復舊工作(新維A4),台灣電力股份有限公司新竹區營業處,3.13.31.8,<勞務類>886附帶於金屬產品、機械及設備維修之服務,公開招標,最低標,統鑫開發實業股份有限公司,17000000,查核金額以上未達巨額,1/7/2014 0:00:00,103/01/07－104/01/06
4800300001,161KV鐵塔防墜裝置NDa2鐵塔塔身12M工式等乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,308318,未達公告金額,1/28/2014 0:00:00,103/01/28－103/04/08
tpc-00905-2011S-103001,tpc-00905-2011S-103001,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,TRANSBEST LIMITED（黃海）,84395336,巨額,1/8/2014 0:00:00,103/01/08－103/03/10
tpc-00905-2011S-103001,tpc-00905-2011S-103001,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,KUANG MING (LIBERIA) CORP. (光明-賴比瑞亞),84395336,巨額,1/8/2014 0:00:00,103/01/08－103/03/14
4700200098,台北段103年度直昇機活線礙子清洗等工作,台灣電力股份有限公司台北供電區營運處,3.13.31.90,<勞務類>97其他服務,公開招標,最低標,凌天航空股份有限公司,9897720,查核金額以上未達巨額,1/3/2014 0:00:00,103/01/03－103/12/31
4850300001,鐵塔塔腳、構件及螺栓等乙批,台灣電力股份有限公司,3.13.31,<財物類>469其他電力設備及零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,684526,未達公告金額,1/20/2014 0:00:00,103/01/20－103/03/10
3710200488,C24B、C6CandC2Csteelcorerubberconveyorbeltandsetup,TAICHUNGTHERMALPOWERPLANT,3.13.31.45,<財物類>421結構金屬產品及其零件,公開招標,最低標,三五橡膠廠股份有限公司,19400000,公告金額以上未達查核金額,2/18/2014 0:00:00,103/02/18－103/04/09
1060300003,103年乙工區變壓器吊檢工作,台灣電力股份有限公司彰化區營業處,3.13.31.13,<勞務類>522土木工程施工服務,公開招標,最低標,峰連工程股份有限公司,6600000,公告金額以上未達查核金額,1/29/2014 0:00:00,103/02/13－103/12/31
4700200127,345KV鐵塔DD等乙批,台灣電力股份有限公司,3.13.31,<財物類>469其他電力設備及零件,選擇性招標(建立合格廠商名單後續邀標),最低標,力鋼工業股份有限公司,5030306,公告金額以上未達查核金額,1/13/2014 0:00:00,103/01/13－103/04/03
4750300007,161KV林口~中壢線#47~#54等鐵塔防墜裝置乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,力鋼工業股份有限公司,1060000,公告金額以上未達查核金額,2/13/2014 0:00:00,103/02/14－103/03/15
3500300005,調壓閥,台灣電力股份有限公司第一核能發電廠,3.13.31.81,<財物類>469其他電力設備及零件,限制性招標(經公開評選或公開徵求),最低標,巨路國際股份有限公司,172000,未達公告金額,2/10/2014 0:00:00,103/02/10－103/07/10
008-9700067-3,161kV交連PE電纜及附屬器材(安裝)壹批增購,台灣電力股份有限公司,3.13.31,"<財物類>463絕緣電線,電纜及光纖電纜",限制性招標(未經公開評選或公開徵求),最低標,合機電線電纜股份有限公司,2069743,公告金額以上未達查核金額,1/20/2014 0:00:00,103/01/20－103/01/31
1030370101,桃園區營業處103年甲工區配電外線工程,台灣電力股份有限公司桃園區營業處,3.13.31.7,<工程類>5164電力工程,公開招標,最低標,通營電氣工程有限公司,146500000,查核金額以上未達巨額,2/6/2014 0:00:00,103/02/21－104/02/20
1040370004,新竹區營業處103年甲工區配電管路工程,台灣電力股份有限公司新竹區營業處,3.13.31.8,<工程類>5164電力工程,公開招標,最低標,昇殿工程有限公司,114060000,查核金額以上未達巨額,1/28/2014 0:00:00,103/01/29－104/01/27
5410209016,核一廠用過核子燃料第二期乾式貯存設施興建計畫補充場址地質特性調查評估工作,台灣電力股份有限公司核能後端營運處,3.13.31.84,<勞務類>8675與科技工程有關之顧問服務,限制性招標(經公開評選或公開徵求),準用最有利標,中興工程顧問股份有限公司,6736764,公告金額以上未達查核金額,12/18/2013 0:00:00,102/12/18－103/07/15
1050270050,103年豐原工區配電線路改善及變壓器吊換工作,台灣電力股份有限公司台中區營業處,3.13.31.10,<勞務類>522土木工程施工服務,公開招標,最低標,東大電業工程股份有限公司,8160000,查核金額以上未達巨額,1/3/2014 0:00:00,103/01/03－103/12/31
N3410210264,振動探測頭與連接介面卡乙批,台灣電力股份有限公司興達發電廠,3.13.31.40,<財物類>462電力傳輸、控制設備及其零件,限制性招標(經公開評選或公開徵求),最低標,巨路國際股份有限公司,249800,未達公告金額,1/3/2014 0:00:00,103/01/04－103/03/04
4750300008,69KV梅湖~湖工一、二路#8-1~#8-2等線鐵柱重鍍鋅等乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,2308234,公告金額以上未達查核金額,2/13/2014 0:00:00,103/02/15－103/03/26
3510300008,具備過濾功能之圍阻體強化排氣系統(FCVS)嚴重事故分析技術服務,台灣電力股份有限公司第二核能發電廠,3.13.31.82,<勞務類>8673綜合工程服務,限制性招標(未經公開評選或公開徵求),最低標,GE-HITACHI NUCLEAR ENERGY INTERNATIONAL LLC,13371600,查核金額以上未達巨額,1/29/2014 0:00:00,103/01/29－103/05/31
008-002054B-N-Y008005418,議購西門子公司備品及服務供應協議提供選購類項目乙批,台灣電力股份有限公司,3.13.31,<財物類>469其他電力設備及零件,限制性招標(未經公開評選或公開徵求),最低標,SIEMENS AG.,516331387,巨額,1/20/2014 0:00:00,103/01/20－104/11/10
80200126,103年度電表零件,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,限制性招標(未經公開評選或公開徵求),最低標,大同股份有限公司,37250000,公告金額以上未達查核金額,2/14/2014 0:00:00,103/02/14－103/12/31
80200126,103年度電表零件,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,限制性招標(未經公開評選或公開徵求),最低標,大同股份有限公司,37250000,公告金額以上未達查核金額,2/14/2014 0:00:00,103/02/14－103/12/31
1190370004,鳳山區營業處103年配電管路潛挖工程,台灣電力股份有限公司鳳山區營業處,3.13.31.23,<工程類>5164電力工程,公開招標,最低標,進昇工程股份有限公司,19770000,公告金額以上未達查核金額,12/19/2013 0:00:00,103/02/10－104/02/09
tpc-00905-2011S-102061,進口煤海上運輸印尼及澳洲地區計5航次,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,ALPHA MARITIME LIMITED（海寰）,106161968,巨額,12/31/2013 0:00:00,102/12/31－103/03/06
tpc-00905-2011S-102061,進口煤海上運輸印尼及澳洲地區計5航次,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,TRANSBEST LIMITED（黃海）,106161968,巨額,12/31/2013 0:00:00,102/12/31－103/03/14
4800272049,103__台中線務段輸電架空線_設備零星積點工程,台灣電力股份有限公司台中供電區營運處,3.13.31.94,<工程類>5164電力工程,公開招標,最低標,陞揚興業有限公司,36000000,公告金額以上未達查核金額,1/8/2014 0:00:00,103/01/08－103/12/31
